877858209384338,Apple,iPhone 15,2024,18683835553,81803127
458233535494301,Asus,Zenfone 9,2020,51399877755,24746718
545554979162003,Nokia,X30,2025,85438205027,18369197
937324342411190,Sony,Xperia 5 IV,2020,70281450773,59230514
513390077389713,Lenovo,Legion Y70,2019,01781089604,82668650
642573061085257,Samsung,Galaxy A54,2018,53846908100,76787592
258658652393306,Nokia,G42,2024,79761539350,35035769
064220105404036,Oppo,Find X5,2019,04985427349,35546561
793165437277396,Huawei,P40,2022,53686461943,38395125
752589978809176,Realme,C55,2023,58646036782,72593574
769073429053777,Sony,Xperia 5 IV,2021,65764287235,92713769
033700793001209,Asus,ROG Phone 7,2018,67404098033,90747504
496617318742852,Asus,ROG Phone 7,2021,37332733382,11670287
352967193268541,Xiaomi,Redmi Note 12,2023,69631114643,75836935
285579853867592,Lenovo,Tab P11,2024,68774361562,34105697
668786993857291,Samsung,Galaxy Z Flip,2021,10097635391,20572196
517184722930336,Vivo,X90,2024,43108280783,76255104
460455092558848,Motorola,Moto Edge 30,2018,49019043102,40753244
413908132387495,LG,Wing,2021,47611480634,49312023
569971407857796,Nokia,X30,2024,23857466979,46494141
397995142987246,Vivo,X90,2021,72139882393,29472256
631643134470959,OnePlus,Nord 2,2024,77358401956,66815648
349497330825425,LG,Wing,2023,34644088501,06548974
587814267530783,Nokia,C32,2019,00615658148,42247841
577977617820069,LG,K52,2020,47171889424,05562723
256759919556448,Huawei,P40,2021,18248611760,57125407
072247753432102,Google,Pixel 8 Pro,2025,02027223843,92389677
972836425356982,Xiaomi,Redmi Note 11,2025,35560474380,46061098
348467249102866,OnePlus,Nord 2,2020,02440713813,30743531
167373634096454,Vivo,Y36,2024,43327135401,89641445
832959694229413,Asus,ROG Phone 7,2020,06210060846,30120221
463103033944701,Huawei,P50,2023,03316268537,82454233
814407621238386,OnePlus,Nord 3,2019,24120837033,69164470
594821247552883,Apple,iPhone 15,2024,59801063599,46807929
767311275973321,Lenovo,K14,2021,10087412306,04459574
230800797084942,Asus,Zenfone 10,2022,79075644922,50587101
872533240838810,Huawei,P40,2021,92719066168,02960822
872008351053560,Motorola,Moto G62,2022,54188860103,22332949
548447253924445,OnePlus,11,2018,74819971107,63090720
989881371517526,OnePlus,11,2019,70200294776,12563748
328631830090735,Oppo,Reno 10,2023,23225858404,24235303
654263210698794,Apple,iPhone 14,2024,74922375538,66994007
709865107640839,Nokia,C32,2018,05273178614,79633852
881845965398435,Motorola,Moto Edge 40,2022,05415379622,21516280
710305560788043,Samsung,Galaxy M54,2022,27363822344,85198324
264488588268656,Realme,C55,2020,09934238764,47049455
441708388625595,Motorola,Moto G52,2018,87229794250,58487593
207490434413377,Xiaomi,Mi 12,2025,76752581428,36712905
722431278879115,Lenovo,Tab P11,2020,87535942660,51469600
492631088073931,Lenovo,Tab P11,2018,72844151930,25559384
253267583488777,OnePlus,11,2024,98805568520,33863166
942922806437332,Oppo,Reno 8,2025,78089029779,28804840
252120485950336,Realme,Narzo 60,2025,29915943903,33383590
700080247977870,Asus,Zenfone 10,2019,68660666976,54539728
028453231985888,Xiaomi,Redmi Note 12,2023,11589828950,33952527
106354478017765,Apple,iPhone 14,2019,84568357810,05597916
807904323824675,OnePlus,Nord 3,2018,19528590691,63971287
608827745894448,Apple,iPhone 14,2021,07795658784,60470298
349557173090558,Realme,GT Neo,2020,70609200569,26830742
533215137396021,Samsung,Galaxy S23,2025,81221496000,30095210
758428313380200,Sony,Xperia 1 IV,2020,10515660884,70162980
511375641725598,Vivo,X90,2019,55597273779,43211806
051518336236903,OnePlus,Nord 3,2020,19904543305,90705000
636574862832433,Apple,iPhone SE,2018,71140383302,39847643
452509591249231,Vivo,X90,2022,04675085261,47092049
970254302640361,Nokia,C32,2019,15063214029,18625574
536122660365747,Nokia,X30,2020,33701492816,90865613
946462236210984,Vivo,Y36,2019,87926794040,87119591
368381621036706,Google,Pixel 8,2022,56809662049,84174544
120368068447894,Samsung,Galaxy A54,2018,51205229205,45322722
542021974812518,Asus,Zenfone 10,2018,88307197651,94942734
381471559984116,Samsung,Galaxy S21,2025,60071769676,37471082
602671882225421,Motorola,Moto G52,2024,73670975632,30848934
289185749929961,Xiaomi,Poco X5,2022,68664372705,61114660
422729922873522,Huawei,P40,2021,35476088482,92078904
589621784236676,Lenovo,K14,2020,48072626108,73086549
978645892497437,Huawei,P40,2019,64092453353,85241945
247768231745527,Huawei,P40,2018,90988974010,04600451
978120252795400,Nokia,C32,2024,51940694302,10865213
464673781020684,LG,Velvet,2023,10968518907,06840412
695880932340522,Samsung,Galaxy Z Flip,2020,43668752761,25423889
207000576203531,Apple,iPhone SE,2023,54752796759,84446608
736641592795866,Xiaomi,Mi 12,2020,19342292534,53345934
619169982771493,Huawei,Nova 11,2019,52314786602,20298260
360249443623598,LG,K52,2019,59708238058,04262124
503966437408258,Vivo,Y36,2025,69326213390,66928926
564879865323991,Apple,iPhone 12,2018,51210359189,75227190
770618315234912,Realme,C55,2019,76984791707,39542654
773767597100615,Apple,iPhone 15,2018,97284027592,05156003
917500203904846,OnePlus,Nord 3,2018,63526561109,81456565
050390236663984,Google,Pixel 7,2019,45065326193,41370424
806766471350584,Asus,Zenfone 10,2022,58485994833,92344235
289633697539551,Realme,C55,2022,91455997773,58630970
769602172510137,Huawei,P40,2020,12144971285,06608361
887385098763729,LG,K52,2024,65200805279,30101262
215549652149734,Google,Pixel 8 Pro,2020,56510296136,27524172
619421556909449,Lenovo,Legion Y70,2018,46315080510,19703771
010760914743361,Samsung,Galaxy A54,2020,03117041907,82755259
167649014417743,Lenovo,Legion Y70,2024,93563606005,26625509
437458776668786,OnePlus,Nord 2,2025,94094610650,50255865
915720209046449,Vivo,V27,2023,91007849150,85252350
647120148023682,Huawei,P50,2020,25414147655,27486539
227999323443174,Lenovo,Legion Y70,2025,74824266394,00242537
361439911522549,Lenovo,K14,2025,68005255454,61715536
842883771073595,LG,Wing,2020,29820741335,83573143
625715869956388,Vivo,Y36,2018,98441338310,56120942
111212670535129,Xiaomi,Redmi Note 11,2023,21281987638,34969924
315567216373473,Xiaomi,Mi 12,2018,81068575220,32113901
149910676870124,Xiaomi,Mi 11,2022,42958194175,06484961
753971479103109,Oppo,Reno 8,2021,43899097033,65854585
167754268401469,Motorola,Moto Edge 40,2023,25479759124,87337006
501662317293224,Apple,iPhone 13,2024,12166233767,14888197
110878991895665,Nokia,X30,2021,75891278766,47404304
